ts,open,high,low,close,volume
2017-05-19,0.37999,0.37999,0.25,0.32498,2130933.0088796094
2017-05-20,0.32499,0.37199,0.2911,0.34715999999999997,3608873.128902351
2017-05-21,0.34700000000000003,0.36998000000000003,0.32101999999999997,0.32799999999999996,2597806.7755010496
2017-05-22,0.327,0.3358,0.25,0.29717,6474949.239428446
2017-05-23,0.29912,0.34991,0.28063,0.32158000000000003,3255225.478139081
2017-05-24,0.32,0.33304,0.2819,0.2886,4288168.025369319
2017-05-25,0.2886,0.29245,0.22899,0.2382,8004757.920914265
2017-05-26,0.2382,0.32126,0.23609000000000002,0.259,6493159.0548232375
2017-05-27,0.25881,0.272,0.1445,0.20142000000000002,9369145.62064263
2017-05-28,0.20190999999999998,0.23438,0.19,0.21631,5838709.807428721
2017-05-29,0.21628000000000003,0.23795,0.20194,0.22499,3998030.9890366597
2017-05-30,0.22405,0.23128,0.19305,0.19823,3942879.5772489207
2017-05-31,0.19762000000000002,0.244,0.17869000000000002,0.23756999999999998,6349241.61520096
2017-06-01,0.23600000000000002,0.3291,0.23387,0.32048000000000004,16032858.704374824
2017-06-02,0.32406,0.32437,0.26394,0.28406,6283984.718654488
2017-06-03,0.28397,0.295,0.26016,0.28057,3199897.02696986
2017-06-04,0.28379,0.30249000000000004,0.26015,0.28841999999999995,4488245.919630069
2017-06-05,0.28841999999999995,0.29286,0.27849,0.28304,1975113.3783121502
2017-06-06,0.2846,0.28988,0.26933,0.28112,6718638.42016536
2017-06-07,0.28010999999999997,0.29849000000000003,0.26839,0.2701,3658666.443211329
2017-06-08,0.27009,0.29575999999999997,0.26482,0.28249,2288428.1961903996
2017-06-09,0.28426,0.2945,0.2793,0.28031999999999996,2379963.778852749
2017-06-10,0.28036,0.2837,0.25051,0.251,5036157.216264972
2017-06-11,0.251,0.27189,0.24986999999999998,0.26811999999999997,4243778.504492651
2017-06-12,0.27,0.2826,0.22000999999999998,0.23705,9026799.170415398
2017-06-13,0.23986,0.27544,0.23406,0.2597,3645353.140511031
2017-06-14,0.26,0.29554,0.24249,0.25418,7789503.93782167
2017-06-15,0.25585,0.26097,0.20347,0.24095,3947695.92231263
2017-06-16,0.2385,0.25024,0.22514,0.24599000000000001,2175500.3145679003
2017-06-17,0.24600999999999998,0.26195,0.23475,0.257,3964957.7592831617
2017-06-18,0.257,0.27637,0.24347,0.26308000000000004,3994007.1139917104
2017-06-19,0.264,0.28067,0.25806,0.28065999999999997,2812101.63652533
2017-06-20,0.28065999999999997,0.3237,0.275,0.301,8805323.890543621
2017-06-21,0.29983000000000004,0.30863,0.25201,0.2691,4723583.1487792395
2017-06-22,0.2691,0.28067,0.25823,0.2753,2745498.2722185594
2017-06-23,0.2758,0.29474,0.27408000000000005,0.29100000000000004,2893659.5564424195
2017-06-24,0.29070999999999997,0.2998,0.2612,0.26900999999999997,4036331.60898864
2017-06-25,0.26968000000000003,0.27675,0.24595999999999998,0.255,2677183.8479693416
2017-06-26,0.2557,0.26195,0.21899999999999997,0.24201,7477974.24667339
2017-06-27,0.24201,0.25794,0.21600000000000003,0.25794,4938016.267551571
2017-06-28,0.25794,0.26645,0.24379,0.263,3326949.02605476
2017-06-29,0.26297,0.2645,0.242,0.25019,2075640.7569198096
2017-06-30,0.24998,0.2581,0.2413,0.24216,2119465.4818928996
2017-07-01,0.2438,0.2451,0.2259,0.23251999999999998,1672767.3049487607
2017-07-02,0.23221,0.24868,0.22901,0.24661999999999998,1351885.01219381
2017-07-03,0.24661999999999998,0.2561,0.24086,0.25064000000000003,3120909.5889974795
2017-07-04,0.2502,0.25653000000000004,0.24453000000000003,0.24600000000000002,1689291.7448466204
2017-07-05,0.24600000000000002,0.25515,0.2422,0.24891,2147110.94380617
2017-07-06,0.25,0.25168,0.2463,0.24856999999999999,1579769.7406626702
2017-07-07,0.24856999999999999,0.2509,0.22648000000000001,0.22741,3397497.1372268107
2017-07-08,0.22741,0.23212,0.209,0.23,3768598.196362477
2017-07-09,0.23,0.24255,0.2237,0.22401,1256072.7536126699
2017-07-10,0.22383000000000003,0.22496999999999998,0.17631,0.18556,6290978.220504589
2017-07-11,0.18600000000000003,0.1964,0.14800000000000002,0.17492,14101812.089849655
2017-07-12,0.17319,0.19604000000000002,0.16102,0.19455999999999998,7330791.006750818
2017-07-13,0.1962,0.21718,0.1785,0.1892,3735659.1300771097
2017-07-14,0.19025999999999998,0.192,0.17254,0.18248,3260932.6492693904
2017-07-15,0.1837,0.18397,0.17167000000000002,0.17255,3785017.2902420997
2017-07-16,0.1724,0.1744,0.129,0.14707,13767657.49769105
