ts,open,high,low,close,volume
2017-07-23,157.4,258.0,155.0,228.15,2929722.334316
2017-07-30,228.22,232.56,176.95,195.31,1264965.28108529
2017-08-06,195.3,271.5,188.12,264.29,1267527.1080454
2017-08-13,264.31,319.78,257.32,296.64,1370652.35922273
2017-08-20,296.76,312.0,272.29,298.37,986031.1903625501
2017-08-27,298.37,348.01,285.01,348.01,1087465.8131294
2017-09-03,348.01,395.03,325.1,350.63,1235259.86793166
2017-09-10,350.98,351.59,267.64,297.9,2088181.22726764
2017-09-17,297.84,316.73,198.0,257.0,2995119.2919432
2017-09-24,257.0,299.89,251.52,282.0,1634268.54448685
2017-10-01,281.93,315.51,280.5,304.26,1166193.60005375
2017-10-08,304.24,315.0,285.12,309.82,798160.0589826999
2017-10-15,309.83,350.0,287.03,337.23,1398203.4935855898
2017-10-22,337.05,355.0,287.46,293.55,1156039.5514319001
2017-10-29,293.52,312.49,273.5,304.39,848533.7135392098
2017-11-05,304.38,314.4,275.21,295.63,1034921.73946547
2017-11-12,295.38,328.8,285.01,303.9,2094190.7840401
2017-11-19,303.42,371.0,302.27,354.7,1870355.6590867203
2017-11-26,354.71,483.0,350.0,469.6,2310271.8344452595
2017-12-03,469.54,518.0,385.2,459.49,2595655.5075581903
2017-12-10,459.31,488.0,390.0,429.24,2086608.2637631604
2017-12-17,429.2,760.0,429.14,708.78,3054256.78367
2017-12-24,709.45,863.0,492.01,659.9,3088987.82276725
2017-12-31,659.88,766.06,640.43,736.77,1425086.10935581
2018-01-07,736.77,1116.0,717.94,1115.8,1873625.09112364
2018-01-14,1115.8,1424.3,965.18,1349.7,2066202.4989341302
2018-01-21,1349.8,1377.9,770.0,1047.7,2406664.93172434
2018-01-28,1047.7,1265.0,905.21,1245.5,1236061.18645283
2018-02-04,1245.5,1260.0,768.0,825.3,1881066.31367345
2018-02-11,825.2,909.04,565.54,810.46,2485908.55153473
2018-02-18,810.45,979.0,810.18,913.13,1108085.6471490902
2018-02-25,913.19,959.0,787.0,838.71,1080883.34101196
2018-03-04,839.38,895.0,830.33,866.06,557614.72458329
2018-03-11,866.06,870.0,637.63,719.86,953251.53623825
2018-03-18,719.85,739.85,452.32,536.73,1621471.90447288
2018-03-25,536.72,590.11,504.58,522.41,1324012.6927509396
2018-04-01,522.41,525.37,358.0,378.67,2271479.77317735
2018-04-08,378.67,417.88,363.0,400.33,1287612.8586258697
2018-04-15,400.34,534.18,387.27,534.04,1886700.36120271
2018-04-22,534.03,646.8,499.33,621.11,1433011.6903484801
2018-04-29,621.11,712.0,596.1,689.93,2028460.9360436401
2018-05-06,689.93,838.0,627.42,793.79,1621238.9208649201
2018-05-13,793.79,797.98,637.12,728.78,2089584.0250096999
2018-05-20,728.83,742.72,645.0,715.5,1168017.12115118
2018-05-27,715.11,720.0,538.97,569.0,1774890.53283239
2018-06-03,569.0,628.99,492.5,619.4,1631646.86885464
2018-06-10,619.39,625.04,496.27,523.55,937689.1731454199
2018-06-17,523.55,544.25,450.1,497.08,1626816.9454969799
2018-06-24,497.0,548.8,421.0,455.32,1273280.20143708
2018-07-01,455.32,474.42,404.99,452.03,1190115.8053990002
2018-07-08,452.02,496.36,443.1,486.1,1044008.3793780599
2018-07-15,486.09,487.89,417.8,449.9,872215.5893218799
2018-07-22,449.9,515.28,439.52,457.99,1064856.99458783
2018-07-29,457.99,485.28,446.0,466.47,703346.20947871
2018-08-05,466.3,469.93,397.84,408.75,888108.68890124
2018-08-12,408.66,413.98,305.0,318.16,1228359.88584391
2018-08-19,318.16,323.54631226,249.93,299.37,2015446.56353075
2018-08-26,299.21,304.09,259.2,274.34,1161418.0715244003
2018-09-02,274.33043838,302.7,271.39,295.23,1182332.63566637
2018-09-09,295.35,296.5,185.12,195.98,2518790.48296211
2018-09-16,196.02,228.08,167.32111027,220.16,4080059.43744259
2018-09-23,220.18,255.0,192.5,244.7,3958778.735029689
2018-09-30,244.7,245.9,202.32,232.86,3161105.89785464
2018-10-07,232.96,235.75,214.0,226.28,1181544.35663366
2018-10-14,226.29,234.9,188.35,196.75,1760291.08207547
2018-10-21,196.75,242.62,194.49,207.29,1711206.7027888098
2018-10-28,207.28115664,210.5,202.53,204.96667358,578920.73915895
2018-11-04,205.01,218.92,193.04,212.3,832314.6896089199
2018-11-11,212.3,225.12,206.28,212.99,889906.27090158
2018-11-18,212.99724894,215.0,171.36,178.96,2155391.08212907
2018-11-25,178.99,178.99,102.96,118.72,6072319.5143512
2018-12-02,118.73,127.87,102.2,117.12,3584908.5980602903
2018-12-09,117.11129288,117.53,83.0,96.032,3969670.6902095396
2018-12-16,95.847,98.023,83.17,86.56,2136157.14023091
2018-12-23,86.601,138.94,86.21167281,133.76,4103555.38361995
2018-12-30,133.76,163.5,116.3,144.2,5270810.062192269
2019-01-06,144.21,167.0,132.05,160.84,3224669.56272119
2019-01-13,160.76,162.76,116.1,117.94,2233814.1225168
2019-01-20,117.94,134.5,107.51,119.1,2102969.2813171
2019-01-27,119.08,122.12,112.16,113.43,1354798.77136621
2019-02-03,113.44,114.45,103.2,108.63,1585714.77097137
2019-02-10,108.58,128.16,102.49,127.37,1483804.21343746
2019-02-17,127.31,139.5,119.22,136.15,1681044.10497706
2019-02-24,136.17,170.0,134.59,135.2,3333499.52573932
2019-03-03,135.3,144.78,128.8,133.23,1564364.10663559
2019-03-10,133.27645537,143.83,125.88,138.2,1430709.8402208402
2019-03-17,138.19868858,147.5,130.55,141.71,1185441.66031485
2019-03-24,141.72,144.88,135.0,137.81,755398.91035724
2019-03-31,137.82,149.17,132.67124053,143.78,818055.0588698101
2019-04-07,143.78,181.33,141.0,176.62,2490962.9684492
2019-04-14,176.75,187.98,160.2,169.08,1881907.41976061
2019-04-21,169.13,179.17,156.42,170.61,1280110.91816747
2019-04-28,170.49,178.41933802,148.88,163.13,1244104.5475221202
2019-05-05,163.13,181.21,157.01,171.01,736050.6318619301
2019-05-12,171.0,203.6,167.62,188.25,1224449.03748922
2019-05-19,188.17,279.0,186.0,260.29,2194599.81884286
2019-05-26,260.29,273.52,229.7,268.5,1016146.1649644701
2019-06-02,268.5,289.42,239.86,269.4,1268223.0875060898
2019-06-09,269.47,270.62,226.01,231.3,726030.74506746
2019-06-16,231.26,279.48,227.45,268.63,1008665.84744936
2019-06-23,268.99,322.0,260.01,308.56,1034176.9749201799
2019-06-30,308.42,363.3,275.60207094,290.8,1903235.3983848363
2019-07-07,290.8,311.0,272.65,306.54,718271.1631195793
