ts,open,high,low,close,volume
2016-05-21,3.8569,3.9718,3.821,3.9353,19941.69398099
2016-05-22,3.9353,3.9762,3.8383,3.8383,37505.62047794
2016-05-23,3.8661,3.958,3.8313,3.958,41654.81143736001
2016-05-24,3.958,3.9942,3.935,3.95,9836.603994199999
2016-05-25,3.95,4.065,3.95,4.0456,54265.80465192001
2016-05-26,4.0482,4.1536,3.9851,4.1025,54883.678154149995
2016-05-27,4.1025,4.6841,4.0827,4.4622,237955.6776449
2016-05-28,4.4451,4.835,4.4433,4.555,225664.13958498996
2016-05-29,4.555,4.8615,4.3534,4.5689,173059.71630521992
2016-05-30,4.5332,4.6795,4.4393,4.62,36538.806134110004
2016-05-31,4.5668,4.6992,4.5,4.5947,51923.39943261999
2016-06-01,4.5975,4.8,4.5525,4.7594,36677.60375243
2016-06-02,4.7518,4.77,4.6721,4.7162,21940.705123839998
2016-06-03,4.7152,4.9,4.6761,4.8967,43526.837909159985
2016-06-04,4.8967,4.9723,4.7509,4.82,57660.46162724999
2016-06-05,4.82,4.8839,4.752,4.8631,20922.81312513
2016-06-06,4.8489,4.9801,4.7984,4.963,40683.61902941999
2016-06-07,4.9521,4.9910000000000005,4.6886,4.7738,45915.64207020999
2016-06-08,4.801,4.8282,4.7,4.821000000000001,23345.56839013
2016-06-09,4.805,4.805,4.6635,4.7669999999999995,9987.85870514
2016-06-10,4.7649,4.9148,4.7124,4.8969,19659.913383040002
2016-06-11,4.8969,5.0993,4.89,5.0993,19687.99098018
2016-06-12,5.0703,5.4,5.0,5.25,163641.82308408996
2016-06-13,5.25,5.5287,4.553,5.2789,248695.66512571002
2016-06-14,5.2799,5.3056,4.9335,5.1477,294178.9670139401
2016-06-15,5.15,5.26,4.9915,5.2588,174660.48195784012
2016-06-16,5.2588,5.695,5.2588,5.695,160285.56832032008
2016-06-17,5.696000000000001,5.99,5.0526,5.6492,220035.86423979988
2016-06-18,5.5631,5.7998,5.3545,5.577999999999999,95695.28787904
2016-06-19,5.577000000000001,5.6365,5.4852,5.6031,20914.21184884
2016-06-20,5.602,5.602,5.2022,5.381,54002.717798140024
